"group","code","major","minor","broad","detailed","title","essential","notes"
"Detailed","29-1291","29-0000","29-1000","29-1290","29-1291","Acupuncturists",0,NA
"Detailed","29-1292","29-0000","29-1000","29-1290","29-1292","Dental Hygienists",0,NA
"Detailed","29-1299","29-0000","29-1000","29-1290","29-1299","Healthcare Diagnosing or Treating Practitioners, All Other",0,NA
"Broad","29-1290","29-0000","29-2000","29-1290",NA,"Health Technologists and Technicians",0,NA
"Broad","29-2010","29-0000","29-2000","29-2010",NA,"Clinical Laboratory Technologists and Technicians",1,NA
"Detailed","29-2011","29-0000","29-2000","29-2010","29-2011","Medical and Clinical Laboratory Technologists",1,NA
"Detailed","29-2012","29-0000","29-2000","29-2010","29-2012","Medical and Clinical Laboratory Technicians",1,NA
"Broad","29-2030","29-0000","29-2000","29-2030",NA,"Diagnostic Related Technologists and Technicians",1,NA
"Detailed","29-2031","29-0000","29-2000","29-2030","29-2031","Cardiovascular Technologists and Technicians",1,NA
"Detailed","29-2032","29-0000","29-2000","29-2030","29-2032","Diagnostic Medical Sonographers",1,NA
"Detailed","29-2033","29-0000","29-2000","29-2030","29-2033","Nuclear Medicine Technologists",1,NA
"Detailed","29-2034","29-0000","29-2000","29-2030","29-2034","Radiologic Technologists and Technicians",1,NA
"Detailed","29-2035","29-0000","29-2000","29-2030","29-2035","Magnetic Resonance Imaging Technologists",1,NA
"Detailed","29-2036","29-0000","29-2000","29-2030","29-2036","Medical Dosimetrists",1,NA
"Broad","29-2040","29-0000","29-2000","29-2040",NA,"Emergency Medical Technicians and Paramedics",1,NA
"Detailed","29-2042","29-0000","29-2000","29-2040","29-2042","Emergency Medical Technicians",1,NA
"Detailed","29-2043","29-0000","29-2000","29-2040","29-2043","Paramedics",1,NA
"Broad","29-2050","29-0000","29-2000","29-2050",NA,"Health Practitioner Support Technologists and Technicians",1,NA
"Detailed","29-2051","29-0000","29-2000","29-2050","29-2051","Dietetic Technicians",1,NA
"Detailed","29-2052","29-0000","29-2000","29-2050","29-2052","Pharmacy Technicians",1,NA
"Detailed","29-2053","29-0000","29-2000","29-2050","29-2053","Psychiatric Technicians",1,NA
"Detailed","29-2055","29-0000","29-2000","29-2050","29-2055","Surgical Technologists",1,NA
"Detailed","29-2056","29-0000","29-2000","29-2050","29-2056","Veterinary Technologists and Technicians",1,NA
"Detailed","29-2057","29-0000","29-2000","29-2050","29-2057","Ophthalmic Medical Technicians",1,NA
"Broad","29-2060","29-0000","29-2000","29-2060",NA,"Licensed Practical and Licensed Vocational Nurses",1,NA
"Detailed","29-2061","29-0000","29-2000","29-2060","29-2061","Licensed Practical and Licensed Vocational Nurses",1,NA
"Broad","29-2070","29-0000","29-2000","29-2070",NA,"Medical Records Specialists",0,NA
"Detailed","29-2072","29-0000","29-2000","29-2070","29-2072","Medical Records Specialists",0,NA
"Broad","29-2080","29-0000","29-2000","29-2080",NA,"Opticians, Dispensing",0,NA
"Detailed","29-2081","29-0000","29-2000","29-2080","29-2081","Opticians, Dispensing",0,NA
"Broad","29-2090","29-0000","29-2000","29-2090",NA,"Miscellaneous Health Technologists and Technicians",1,NA
"Detailed","29-2091","29-0000","29-2000","29-2090","29-2091","Orthotists and Prosthetists",1,NA
"Detailed","29-2092","29-0000","29-2000","29-2090","29-2092","Hearing Aid Specialists",1,NA
"Detailed","29-2099","29-0000","29-2000","29-2090","29-2099","Health Technologists and Technicians, All Other",1,NA
"Broad","29-2090","29-0000","29-9000","29-2090",NA,"Other Healthcare Practitioners and Technical Occupations",1,NA
"Broad","29-9020","29-0000","29-9000","29-9020",NA,"Health Information Technologists and Medical Registrars",0,NA
"Detailed","29-9021","29-0000","29-9000","29-9020","29-9021","Health Information Technologists and Medical Registrars",0,NA
"Broad","29-9090","29-0000","29-9000","29-9090",NA,"Miscellaneous Health Practitioners and Technical Workers",1,NA
"Detailed","29-9091","29-0000","29-9000","29-9090","29-9091","Athletic Trainers",1,NA
"Detailed","29-9092","29-0000","29-9000","29-9090","29-9092","Genetic Counselors",1,NA
"Detailed","29-9093","29-0000","29-9000","29-9090","29-9093","Surgical Assistants",1,NA
"Detailed","29-9099","29-0000","29-9000","29-9090","29-9099","Healthcare Practitioners and Technical Workers, All Other",1,NA
"Broad","29-9090","31-0000","29-9000","29-9090",NA,"Healthcare Support Occupations",1,NA
"Broad","29-9090","31-0000","31-1100","29-9090",NA,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",1,NA
"Broad","31-1120","31-0000","31-1100","31-1120",NA,"Home Health and Personal Care Aides",1,NA
"Detailed","31-1121","31-0000","31-1100","31-1120","31-1121","Home Health Aides",1,NA
"Detailed","31-1122","31-0000","31-1100","31-1120","31-1122","Personal Care Aides",1,NA
"Broad","31-1130","31-0000","31-1100","31-1130",NA,"Nursing Assistants, Orderlies, and Psychiatric Aides",1,NA
"Detailed","31-1131","31-0000","31-1100","31-1130","31-1131","Nursing Assistants",1,NA
"Detailed","31-1132","31-0000","31-1100","31-1130","31-1132","Orderlies",1,NA
"Detailed","31-1133","31-0000","31-1100","31-1130","31-1133","Psychiatric Aides",1,NA
"Broad","31-1130","31-0000","31-2000","31-1130",NA,"Occupational Therapy and Physical Therapist Assistants and Aides",1,NA
"Broad","31-2010","31-0000","31-2000","31-2010",NA,"Occupational Therapy Assistants and Aides",1,NA
"Detailed","31-2011","31-0000","31-2000","31-2010","31-2011","Occupational Therapy Assistants",1,NA
"Detailed","31-2012","31-0000","31-2000","31-2010","31-2012","Occupational Therapy Aides",1,NA
"Broad","31-2020","31-0000","31-2000","31-2020",NA,"Physical Therapist Assistants and Aides",1,NA
"Detailed","31-2021","31-0000","31-2000","31-2020","31-2021","Physical Therapist Assistants",1,NA
"Detailed","31-2022","31-0000","31-2000","31-2020","31-2022","Physical Therapist Aides",1,NA
"Broad","31-2020","31-0000","31-9000","31-2020",NA,"Other Healthcare Support Occupations",1,NA
"Broad","31-9010","31-0000","31-9000","31-9010",NA,"Massage Therapists",0,NA
"Detailed","31-9011","31-0000","31-9000","31-9010","31-9011","Massage Therapists",0,NA
"Broad","31-9090","31-0000","31-9000","31-9090",NA,"Miscellaneous Healthcare Support Occupations",1,NA
"Detailed","31-9091","31-0000","31-9000","31-9090","31-9091","Dental Assistants",1,NA
"Detailed","31-9092","31-0000","31-9000","31-9090","31-9092","Medical Assistants",1,NA
"Detailed","31-9093","31-0000","31-9000","31-9090","31-9093","Medical Equipment Preparers",1,NA
"Detailed","31-9094","31-0000","31-9000","31-9090","31-9094","Medical Transcriptionists",1,NA
"Detailed","31-9095","31-0000","31-9000","31-9090","31-9095","Pharmacy Aides",1,NA
"Detailed","31-9096","31-0000","31-9000","31-9090","31-9096","Veterinary Assistants and Laboratory Animal Caretakers",1,NA
"Detailed","31-9097","31-0000","31-9000","31-9090","31-9097","Phlebotomists",1,NA
"Detailed","31-9099","31-0000","31-9000","31-9090","31-9099","Healthcare Support Workers, All Other",1,NA
"Broad","31-9090","33-0000","31-9000","31-9090",NA,"Protective Service Occupations",1,NA
"Broad","31-9090","33-0000","33-1000","31-9090",NA,"Supervisors of Protective Service Workers",1,NA
"Broad","33-1010","33-0000","33-1000","33-1010",NA,"First-Line Supervisors of Law Enforcement Workers",1,NA
"Detailed","33-1011","33-0000","33-1000","33-1010","33-1011","First-Line Supervisors of Correctional Officers",1,NA
"Detailed","33-1012","33-0000","33-1000","33-1010","33-1012","First-Line Supervisors of Police and Detectives",1,NA
"Broad","33-1020","33-0000","33-1000","33-1020",NA,"First-Line Supervisors of Firefighting and Prevention Workers",1,NA
"Detailed","33-1021","33-0000","33-1000","33-1020","33-1021","First-Line Supervisors of Firefighting and Prevention Workers",1,NA
"Broad","33-1090","33-0000","33-1000","33-1090",NA,"Miscellaneous First-Line Supervisors, Protective Service Workers",1,NA
"Detailed","33-1091","33-0000","33-1000","33-1090","33-1091","First-Line Supervisors of Security Workers",1,NA
"Detailed","33-1099","33-0000","33-1000","33-1090","33-1099","First-Line Supervisors of Protective Service Workers, All Other",1,NA
"Broad","33-1090","33-0000","33-2000","33-1090",NA,"Firefighting and Prevention Workers",1,NA
"Broad","33-2010","33-0000","33-2000","33-2010",NA,"Firefighters",1,NA
"Detailed","33-2011","33-0000","33-2000","33-2010","33-2011","Firefighters",1,NA
"Broad","33-2020","33-0000","33-2000","33-2020",NA,"Fire Inspectors",1,NA
"Detailed","33-2021","33-0000","33-2000","33-2020","33-2021","Fire Inspectors and Investigators",1,NA
"Detailed","33-2022","33-0000","33-2000","33-2020","33-2022","Forest Fire Inspectors and Prevention Specialists",1,NA
"Broad","33-2020","33-0000","33-3000","33-2020",NA,"Law Enforcement Workers",1,NA
"Broad","33-3010","33-0000","33-3000","33-3010",NA,"Bailiffs, Correctional Officers, and Jailers",1,NA
"Detailed","33-3011","33-0000","33-3000","33-3010","33-3011","Bailiffs",1,NA
"Detailed","33-3012","33-0000","33-3000","33-3010","33-3012","Correctional Officers and Jailers",1,NA
"Broad","33-3020","33-0000","33-3000","33-3020",NA,"Detectives and Criminal Investigators",1,NA
"Detailed","33-3021","33-0000","33-3000","33-3020","33-3021","Detectives and Criminal Investigators",1,NA
"Broad","33-3030","33-0000","33-3000","33-3030",NA,"Fish and Game Wardens",0,NA
"Detailed","33-3031","33-0000","33-3000","33-3030","33-3031","Fish and Game Wardens",0,NA
"Broad","33-3040","33-0000","33-3000","33-3040",NA,"Parking Enforcement Workers",0,NA
"Detailed","33-3041","33-0000","33-3000","33-3040","33-3041","Parking Enforcement Workers",0,NA
"Broad","33-3050","33-0000","33-3000","33-3050",NA,"Police Officers",1,NA
"Detailed","33-3051","33-0000","33-3000","33-3050","33-3051","Police and Sheriff’s Patrol Officers",1,NA
"Detailed","33-3052","33-0000","33-3000","33-3050","33-3052","Transit and Railroad Police",1,NA
"Broad","33-3050","33-0000","33-9000","33-3050",NA,"Other Protective Service Workers",1,NA
"Broad","33-9010","33-0000","33-9000","33-9010",NA,"Animal Control Workers",0,NA
"Detailed","33-9011","33-0000","33-9000","33-9010","33-9011","Animal Control Workers",0,NA
"Broad","33-9020","33-0000","33-9000","33-9020",NA,"Private Detectives and Investigators",0,NA
"Detailed","33-9021","33-0000","33-9000","33-9020","33-9021","Private Detectives and Investigators",0,NA
"Broad","33-9030","33-0000","33-9000","33-9030",NA,"Security Guards and Gambling Surveillance Officers",1,NA
"Detailed","33-9031","33-0000","33-9000","33-9030","33-9031","Gambling Surveillance Officers and Gambling Investigators",1,NA
"Detailed","33-9032","33-0000","33-9000","33-9030","33-9032","Security Guards",1,NA
"Broad","33-9090","33-0000","33-9000","33-9090",NA,"Miscellaneous Protective Service Workers",1,NA
"Detailed","33-9091","33-0000","33-9000","33-9090","33-9091","Crossing Guards and Flaggers",1,NA
"Detailed","33-9092","33-0000","33-9000","33-9090","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,NA
"Detailed","33-9093","33-0000","33-9000","33-9090","33-9093","Transportation Security Screeners",1,NA
"Detailed","33-9094","33-0000","33-9000","33-9090","33-9094","School Bus Monitors",1,NA
"Detailed","33-9099","33-0000","33-9000","33-9090","33-9099","Protective Service Workers, All Other",1,NA
"Broad","33-9090","35-0000","33-9000","33-9090",NA,"Food Preparation and Serving Related Occupations",1,NA
"Broad","33-9090","35-0000","35-1000","33-9090",NA,"Supervisors of Food Preparation and Serving Workers",1,NA
"Broad","35-1010","35-0000","35-1000","35-1010",NA,"Supervisors of Food Preparation and Serving Workers",1,NA
"Detailed","35-1011","35-0000","35-1000","35-1010","35-1011","Chefs and Head Cooks",1,NA
"Detailed","35-1012","35-0000","35-1000","35-1010","35-1012","First-Line Supervisors of Food Preparation and Serving Workers",1,NA
"Broad","35-1010","35-0000","35-2000","35-1010",NA,"Cooks and Food Preparation Workers",1,NA
"Broad","35-2010","35-0000","35-2000","35-2010",NA,"Cooks",1,NA
"Detailed","35-2011","35-0000","35-2000","35-2010","35-2011","Cooks, Fast Food",1,NA
"Detailed","35-2012","35-0000","35-2000","35-2010","35-2012","Cooks, Institution and Cafeteria",1,NA
"Detailed","35-2013","35-0000","35-2000","35-2010","35-2013","Cooks, Private Household",1,NA
"Detailed","35-2014","35-0000","35-2000","35-2010","35-2014","Cooks, Restaurant",1,NA
"Detailed","35-2015","35-0000","35-2000","35-2010","35-2015","Cooks, Short Order",1,NA
"Detailed","35-2019","35-0000","35-2000","35-2010","35-2019","Cooks, All Other",1,NA
"Broad","35-2020","35-0000","35-2000","35-2020",NA,"Food Preparation Workers",1,NA
"Detailed","35-2021","35-0000","35-2000","35-2020","35-2021","Food Preparation Workers",1,NA
"Broad","35-2020","35-0000","35-3000","35-2020",NA,"Food and Beverage Serving Workers",1,NA
"Broad","35-3010","35-0000","35-3000","35-3010",NA,"Bartenders",0,NA
"Detailed","35-3011","35-0000","35-3000","35-3010","35-3011","Bartenders",0,NA
"Broad","35-3020","35-0000","35-3000","35-3020",NA,"Fast Food and Counter Workers",1,NA
"Detailed","35-3023","35-0000","35-3000","35-3020","35-3023","Fast Food and Counter Workers",1,NA
"Broad","35-3030","35-0000","35-3000","35-3030",NA,"Waiters and Waitresses",0,NA
"Detailed","35-3031","35-0000","35-3000","35-3030","35-3031","Waiters and Waitresses",0,NA
"Broad","35-3040","35-0000","35-3000","35-3040",NA,"Food Servers, Nonrestaurant",1,NA
"Detailed","35-3041","35-0000","35-3000","35-3040","35-3041","Food Servers, Nonrestaurant",1,NA
"Broad","35-3040","35-0000","35-9000","35-3040",NA,"Other Food Preparation and Serving Related Workers",1,NA
"Broad","35-9010","35-0000","35-9000","35-9010",NA,"Dining Room and Cafeteria Attendants and Bartender Helpers",1,NA
"Detailed","35-9011","35-0000","35-9000","35-9010","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers",1,NA
"Broad","35-9020","35-0000","35-9000","35-9020",NA,"Dishwashers",1,NA
"Detailed","35-9021","35-0000","35-9000","35-9020","35-9021","Dishwashers",1,NA
"Broad","35-9030","35-0000","35-9000","35-9030",NA,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,NA
"Detailed","35-9031","35-0000","35-9000","35-9030","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,NA
"Broad","35-9090","35-0000","35-9000","35-9090",NA,"Miscellaneous Food Preparation and Serving Related Workers",1,NA
"Detailed","35-9099","35-0000","35-9000","35-9090","35-9099","Food Preparation and Serving Related Workers, All Other",1,NA
"Broad","35-9090","37-0000","35-9000","35-9090",NA,"Building and Grounds Cleaning and Maintenance Occupations",1,NA
"Broad","35-9090","37-0000","37-1000","35-9090",NA,"Supervisors of Building and Grounds Cleaning and Maintenance Workers",1,NA
"Broad","37-1010","37-0000","37-1000","37-1010",NA,"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers",1,NA
"Detailed","37-1011","37-0000","37-1000","37-1010","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers",1,NA
"Detailed","37-1012","37-0000","37-1000","37-1010","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1,NA
"Broad","37-1010","37-0000","37-2000","37-1010",NA,"Building Cleaning and Pest Control Workers",1,NA
"Broad","37-2010","37-0000","37-2000","37-2010",NA,"Building Cleaning Workers",1,NA
"Detailed","37-2011","37-0000","37-2000","37-2010","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,NA
"Detailed","37-2012","37-0000","37-2000","37-2010","37-2012","Maids and Housekeeping Cleaners",1,NA
"Detailed","37-2019","37-0000","37-2000","37-2010","37-2019","Building Cleaning Workers, All Other",1,NA
"Broad","37-2020","37-0000","37-2000","37-2020",NA,"Pest Control Workers",1,NA
"Detailed","37-2021","37-0000","37-2000","37-2020","37-2021","Pest Control Workers",1,NA
"Broad","37-2020","37-0000","37-3000","37-2020",NA,"Grounds Maintenance Workers",1,NA
"Broad","37-3010","37-0000","37-3000","37-3010",NA,"Grounds Maintenance Workers",1,NA
"Detailed","37-3011","37-0000","37-3000","37-3010","37-3011","Landscaping and Groundskeeping Workers",1,NA
"Detailed","37-3012","37-0000","37-3000","37-3010","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation",1,NA
"Detailed","37-3013","37-0000","37-3000","37-3010","37-3013","Tree Trimmers and Pruners",1,NA
"Detailed","37-3019","37-0000","37-3000","37-3010","37-3019","Grounds Maintenance Workers, All Other",1,NA
"Broad","37-3010","39-0000","37-3000","37-3010",NA,"Personal Care and Service Occupations",1,NA
"Broad","37-3010","39-0000","39-1000","37-3010",NA,"Supervisors of Personal Care and Service Workers",1,NA
"Broad","39-1010","39-0000","39-1000","39-1010",NA,"First-Line Supervisors of Entertainment and Recreation Workers",0,NA
"Detailed","39-1013","39-0000","39-1000","39-1010","39-1013","First-Line Supervisors of Gambling Services Workers",0,NA
"Detailed","39-1014","39-0000","39-1000","39-1010","39-1014","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0,NA
"Broad","39-1020","39-0000","39-1000","39-1020",NA,"First-Line Supervisors of Personal Service Workers",0,NA
"Detailed","39-1022","39-0000","39-1000","39-1020","39-1022","First-Line Supervisors of Personal Service Workers",0,NA
"Broad","39-1020","39-0000","39-2000","39-1020",NA,"Animal Care and Service Workers",0,NA
"Broad","39-2010","39-0000","39-2000","39-2010",NA,"Animal Trainers",0,NA
"Detailed","39-2011","39-0000","39-2000","39-2010","39-2011","Animal Trainers",0,NA
"Broad","39-2020","39-0000","39-2000","39-2020",NA,"Animal Caretakers",0,NA
"Detailed","39-2021","39-0000","39-2000","39-2020","39-2021","Animal Caretakers",0,NA
"Broad","39-2020","39-0000","39-3000","39-2020",NA,"Entertainment Attendants and Related Workers",0,NA
"Broad","39-3010","39-0000","39-3000","39-3010",NA,"Gambling Services Workers",0,NA
"Detailed","39-3011","39-0000","39-3000","39-3010","39-3011","Gambling Dealers",0,NA
"Detailed","39-3012","39-0000","39-3000","39-3010","39-3012","Gambling and Sports Book Writers and Runners",0,NA
"Detailed","39-3019","39-0000","39-3000","39-3010","39-3019","Gambling Service Workers, All Other",0,NA
"Broad","39-3020","39-0000","39-3000","39-3020",NA,"Motion Picture Projectionists",0,NA
"Detailed","39-3021","39-0000","39-3000","39-3020","39-3021","Motion Picture Projectionists",0,NA
"Broad","39-3030","39-0000","39-3000","39-3030",NA,"Ushers, Lobby Attendants, and Ticket Takers",0,NA
"Detailed","39-3031","39-0000","39-3000","39-3030","39-3031","Ushers, Lobby Attendants, and Ticket Takers",0,NA
"Broad","39-3090","39-0000","39-3000","39-3090",NA,"Miscellaneous Entertainment Attendants and Related Workers",0,NA
"Detailed","39-3091","39-0000","39-3000","39-3090","39-3091","Amusement and Recreation Attendants",0,NA
"Detailed","39-3092","39-0000","39-3000","39-3090","39-3092","Costume Attendants",0,NA
"Detailed","39-3093","39-0000","39-3000","39-3090","39-3093","Locker Room, Coatroom, and Dressing Room Attendants",0,NA
"Detailed","39-3099","39-0000","39-3000","39-3090","39-3099","Entertainment Attendants and Related Workers, All Other",0,NA
"Broad","39-3090","39-0000","39-4000","39-3090",NA,"Funeral Service Workers",0,NA
"Broad","39-4010","39-0000","39-4000","39-4010",NA,"Embalmers and Crematory Operators",0,NA
"Detailed","39-4011","39-0000","39-4000","39-4010","39-4011","Embalmers",0,NA
"Detailed","39-4012","39-0000","39-4000","39-4010","39-4012","Crematory Operators",0,NA
"Broad","39-4020","39-0000","39-4000","39-4020",NA,"Funeral Attendants",1,NA
"Detailed","39-4021","39-0000","39-4000","39-4020","39-4021","Funeral Attendants",1,NA
"Broad","39-4030","39-0000","39-4000","39-4030",NA,"Morticians, Undertakers, and Funeral Arrangers",1,NA
"Detailed","39-4031","39-0000","39-4000","39-4030","39-4031","Morticians, Undertakers, and Funeral Arrangers",1,NA
"Broad","39-4030","39-0000","39-5000","39-4030",NA,"Personal Appearance Workers",1,NA
"Broad","39-5010","39-0000","39-5000","39-5010",NA,"Barbers, Hairdressers, Hairstylists and Cosmetologists",0,NA
"Detailed","39-5011","39-0000","39-5000","39-5010","39-5011","Barbers",0,NA
"Detailed","39-5012","39-0000","39-5000","39-5010","39-5012","Hairdressers, Hairstylists, and Cosmetologists",0,NA
"Broad","39-5090","39-0000","39-5000","39-5090",NA,"Miscellaneous Personal Appearance Workers",0,NA
"Detailed","39-5091","39-0000","39-5000","39-5090","39-5091","Makeup Artists, Theatrical and Performance",0,NA
"Detailed","39-5092","39-0000","39-5000","39-5090","39-5092","Manicurists and Pedicurists",0,NA
"Detailed","39-5093","39-0000","39-5000","39-5090","39-5093","Shampooers",0,NA
"Detailed","39-5094","39-0000","39-5000","39-5090","39-5094","Skincare Specialists",0,NA
"Broad","39-5090","39-0000","39-6000","39-5090",NA,"Baggage Porters, Bellhops, and Concierges",0,NA
"Broad","39-6010","39-0000","39-6000","39-6010",NA,"Baggage Porters, Bellhops, and Concierges",0,NA
"Detailed","39-6011","39-0000","39-6000","39-6010","39-6011","Baggage Porters and Bellhops",0,NA
"Detailed","39-6012","39-0000","39-6000","39-6010","39-6012","Concierges",0,NA
"Broad","39-6010","39-0000","39-7000","39-6010",NA,"Tour and Travel Guides",0,NA
"Broad","39-7010","39-0000","39-7000","39-7010",NA,"Tour and Travel Guides",0,NA
"Detailed","39-7011","39-0000","39-7000","39-7010","39-7011","Tour Guides and Escorts",0,NA
"Detailed","39-7012","39-0000","39-7000","39-7010","39-7012","Travel Guides",0,NA
"Broad","39-7010","39-0000","39-9000","39-7010",NA,"Other Personal Care and Service Workers",0,NA
"Broad","39-9010","39-0000","39-9000","39-9010",NA,"Childcare Workers",1,NA
"Detailed","39-9011","39-0000","39-9000","39-9010","39-9011","Childcare Workers",1,NA
"Broad","39-9030","39-0000","39-9000","39-9030",NA,"Recreation and Fitness Workers",0,NA
"Detailed","39-9031","39-0000","39-9000","39-9030","39-9031","Exercise Trainers and Group Fitness Instructors",0,NA
"Detailed","39-9032","39-0000","39-9000","39-9030","39-9032","Recreation Workers",0,NA
"Broad","39-9040","39-0000","39-9000","39-9040",NA,"Residential Advisors",0,NA
"Detailed","39-9041","39-0000","39-9000","39-9040","39-9041","Residential Advisors",0,NA
"Broad","39-9090","39-0000","39-9000","39-9090",NA,"Miscellaneous Personal Care and Service Workers",0,NA
"Detailed","39-9099","39-0000","39-9000","39-9090","39-9099","Personal Care and Service Workers, All Other",0,NA
"Broad","39-9090","41-0000","39-9000","39-9090",NA,"Sales and Related Occupations",0,NA
"Broad","39-9090","41-0000","41-1000","39-9090",NA,"Supervisors of Sales Workers",0,NA
"Broad","41-1010","41-0000","41-1000","41-1010",NA,"First-Line Supervisors of Sales Workers",1,NA
"Detailed","41-1011","41-0000","41-1000","41-1010","41-1011","First-Line Supervisors of Retail Sales Workers",1,NA
"Detailed","41-1012","41-0000","41-1000","41-1010","41-1012","First-Line Supervisors of Non-Retail Sales Workers",1,NA
"Broad","41-1010","41-0000","41-2000","41-1010",NA,"Retail Sales Workers",1,NA
"Broad","41-2010","41-0000","41-2000","41-2010",NA,"Cashiers",1,NA
"Detailed","41-2011","41-0000","41-2000","41-2010","41-2011","Cashiers",1,NA
"Detailed","41-2012","41-0000","41-2000","41-2010","41-2012","Gambling Change Persons and Booth Cashiers",1,NA
"Broad","41-2020","41-0000","41-2000","41-2020",NA,"Counter and Rental Clerks and Parts Salespersons",0,NA
"Detailed","41-2021","41-0000","41-2000","41-2020","41-2021","Counter and Rental Clerks",0,NA
"Detailed","41-2022","41-0000","41-2000","41-2020","41-2022","Parts Salespersons",0,NA
"Broad","41-2030","41-0000","41-2000","41-2030",NA,"Retail Salespersons",0,NA
"Detailed","41-2031","41-0000","41-2000","41-2030","41-2031","Retail Salespersons",0,NA
"Broad","41-2030","41-0000","41-3000","41-2030",NA,"Sales Representatives, Services",0,NA
"Broad","41-3010","41-0000","41-3000","41-3010",NA,"Advertising Sales Agents",0,NA
"Detailed","41-3011","41-0000","41-3000","41-3010","41-3011","Advertising Sales Agents",0,NA
"Broad","41-3020","41-0000","41-3000","41-3020",NA,"Insurance Sales Agents",0,NA
"Detailed","41-3021","41-0000","41-3000","41-3020","41-3021","Insurance Sales Agents",0,NA
"Broad","41-3030","41-0000","41-3000","41-3030",NA,"Securities, Commodities, and Financial Services Sales Agents",1,NA
"Detailed","41-3031","41-0000","41-3000","41-3030","41-3031","Securities, Commodities, and Financial Services Sales Agents",1,NA
"Broad","41-3040","41-0000","41-3000","41-3040",NA,"Travel Agents",0,NA
"Detailed","41-3041","41-0000","41-3000","41-3040","41-3041","Travel Agents",0,NA
"Broad","41-3090","41-0000","41-3000","41-3090",NA,"Miscellaneous Sales Representatives, Services",1,NA
"Detailed","41-3091","41-0000","41-3000","41-3090","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1,NA
"Broad","41-3090","41-0000","41-4000","41-3090",NA,"Sales Representatives, Wholesale and Manufacturing",1,NA
"Broad","41-4010","41-0000","41-4000","41-4010",NA,"Sales Representatives, Wholesale and Manufacturing",1,NA
"Detailed","41-4011","41-0000","41-4000","41-4010","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1,NA
"Detailed","41-4012","41-0000","41-4000","41-4010","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1,NA
"Broad","41-4010","41-0000","41-9000","41-4010",NA,"Other Sales and Related Workers",1,NA
"Broad","41-9010","41-0000","41-9000","41-9010",NA,"Models, Demonstrators, and Product Promoters",0,NA
"Detailed","41-9011","41-0000","41-9000","41-9010","41-9011","Demonstrators and Product Promoters",0,NA
"Detailed","41-9012","41-0000","41-9000","41-9010","41-9012","Models",0,NA
"Broad","41-9020","41-0000","41-9000","41-9020",NA,"Real Estate Brokers and Sales Agents",0,NA
"Detailed","41-9021","41-0000","41-9000","41-9020","41-9021","Real Estate Brokers",0,NA
"Detailed","41-9022","41-0000","41-9000","41-9020","41-9022","Real Estate Sales Agents",0,NA
"Broad","41-9030","41-0000","41-9000","41-9030",NA,"Sales Engineers",0,NA
"Detailed","41-9031","41-0000","41-9000","41-9030","41-9031","Sales Engineers",0,NA
"Broad","41-9040","41-0000","41-9000","41-9040",NA,"Telemarketers",1,NA
"Detailed","41-9041","41-0000","41-9000","41-9040","41-9041","Telemarketers",1,NA
"Broad","41-9090","41-0000","41-9000","41-9090",NA,"Miscellaneous Sales and Related Workers",0,NA
"Detailed","41-9091","41-0000","41-9000","41-9090","41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,NA
"Detailed","41-9099","41-0000","41-9000","41-9090","41-9099","Sales and Related Workers, All Other",0,NA
"Broad","41-9090","43-0000","41-9000","41-9090",NA,"Office and Administrative Support Occupations",0,NA
"Broad","41-9090","43-0000","43-1000","41-9090",NA,"Supervisors of Office and Administrative Support Workers",0,NA
"Broad","43-1010","43-0000","43-1000","43-1010",NA,"First-Line Supervisors of Office and Administrative Support Workers",1,NA
"Detailed","43-1011","43-0000","43-1000","43-1010","43-1011","First-Line Supervisors of Office and Administrative Support Workers",1,NA
"Broad","43-1010","43-0000","43-2000","43-1010",NA,"Communications Equipment Operators",1,NA
"Broad","43-2010","43-0000","43-2000","43-2010",NA,"Switchboard Operators, Including Answering Service",1,NA
"Detailed","43-2011","43-0000","43-2000","43-2010","43-2011","Switchboard Operators, Including Answering Service",1,NA
"Broad","43-2020","43-0000","43-2000","43-2020",NA,"Telephone Operators",0,NA
"Detailed","43-2021","43-0000","43-2000","43-2020","43-2021","Telephone Operators",0,NA
"Broad","43-2090","43-0000","43-2000","43-2090",NA,"Miscellaneous Communications Equipment Operators",0,NA
"Detailed","43-2099","43-0000","43-2000","43-2090","43-2099","Communications Equipment Operators, All Other",0,NA
