"major","minor","broad","detailed","title","notes"
"39-0000","39-3000","39-3010",NA,"Gambling Services Workers",NA
"39-0000","39-3000","39-3010","39-3011","Gambling Dealers",NA
"39-0000","39-3000","39-3010","39-3012","Gambling and Sports Book Writers and Runners",NA
"39-0000","39-3000","39-3010","39-3019","Gambling Service Workers, All Other",NA
"39-0000","39-3000","39-3020",NA,"Motion Picture Projectionists",NA
"39-0000","39-3000","39-3020","39-3021","Motion Picture Projectionists",NA
"39-0000","39-3000","39-3030",NA,"Ushers, Lobby Attendants, and Ticket Takers",NA
"39-0000","39-3000","39-3030","39-3031","Ushers, Lobby Attendants, and Ticket Takers",NA
"39-0000","39-3000","39-3090",NA,"Miscellaneous Entertainment Attendants and Related Workers",NA
"39-0000","39-3000","39-3090","39-3091","Amusement and Recreation Attendants",NA
"39-0000","39-3000","39-3090","39-3092","Costume Attendants",NA
"39-0000","39-3000","39-3090","39-3093","Locker Room, Coatroom, and Dressing Room Attendants",NA
"39-0000","39-3000","39-3090","39-3099","Entertainment Attendants and Related Workers, All Other",NA
"39-0000","39-4000","39-3090",NA,"Funeral Service Workers",NA
"39-0000","39-4000","39-4010",NA,"Embalmers and Crematory Operators",NA
"39-0000","39-4000","39-4010","39-4011","Embalmers",NA
"39-0000","39-4000","39-4010","39-4012","Crematory Operators",NA
"39-0000","39-4000","39-4020",NA,"Funeral Attendants",NA
"39-0000","39-4000","39-4020","39-4021","Funeral Attendants",NA
"39-0000","39-4000","39-4030",NA,"Morticians, Undertakers, and Funeral Arrangers",NA
"39-0000","39-4000","39-4030","39-4031","Morticians, Undertakers, and Funeral Arrangers",NA
"39-0000","39-5000","39-4030",NA,"Personal Appearance Workers",NA
"39-0000","39-5000","39-5010",NA,"Barbers, Hairdressers, Hairstylists and Cosmetologists",NA
"39-0000","39-5000","39-5010","39-5011","Barbers",NA
"39-0000","39-5000","39-5010","39-5012","Hairdressers, Hairstylists, and Cosmetologists",NA
"39-0000","39-5000","39-5090",NA,"Miscellaneous Personal Appearance Workers",NA
"39-0000","39-5000","39-5090","39-5091","Makeup Artists, Theatrical and Performance",NA
"39-0000","39-5000","39-5090","39-5092","Manicurists and Pedicurists",NA
"39-0000","39-5000","39-5090","39-5093","Shampooers",NA
"39-0000","39-5000","39-5090","39-5094","Skincare Specialists",NA
"39-0000","39-6000","39-5090",NA,"Baggage Porters, Bellhops, and Concierges",NA
"39-0000","39-6000","39-6010",NA,"Baggage Porters, Bellhops, and Concierges",NA
"39-0000","39-6000","39-6010","39-6011","Baggage Porters and Bellhops",NA
"39-0000","39-6000","39-6010","39-6012","Concierges",NA
"39-0000","39-7000","39-6010",NA,"Tour and Travel Guides",NA
"39-0000","39-7000","39-7010",NA,"Tour and Travel Guides",NA
"39-0000","39-7000","39-7010","39-7011","Tour Guides and Escorts",NA
"39-0000","39-7000","39-7010","39-7012","Travel Guides",NA
"39-0000","39-9000","39-7010",NA,"Other Personal Care and Service Workers",NA
"39-0000","39-9000","39-9010",NA,"Childcare Workers",NA
"39-0000","39-9000","39-9010","39-9011","Childcare Workers",NA
"39-0000","39-9000","39-9030",NA,"Recreation and Fitness Workers",NA
"39-0000","39-9000","39-9030","39-9031","Exercise Trainers and Group Fitness Instructors",NA
"39-0000","39-9000","39-9030","39-9032","Recreation Workers",NA
"39-0000","39-9000","39-9040",NA,"Residential Advisors",NA
"39-0000","39-9000","39-9040","39-9041","Residential Advisors",NA
"39-0000","39-9000","39-9090",NA,"Miscellaneous Personal Care and Service Workers",NA
"39-0000","39-9000","39-9090","39-9099","Personal Care and Service Workers, All Other",NA
"41-0000","39-9000","39-9090",NA,"Sales and Related Occupations",NA
"41-0000","41-1000","39-9090",NA,"Supervisors of Sales Workers",NA
"41-0000","41-1000","41-1010",NA,"First-Line Supervisors of Sales Workers",NA
"41-0000","41-1000","41-1010","41-1011","First-Line Supervisors of Retail Sales Workers",NA
"41-0000","41-1000","41-1010","41-1012","First-Line Supervisors of Non-Retail Sales Workers",NA
"41-0000","41-2000","41-1010",NA,"Retail Sales Workers",NA
"41-0000","41-2000","41-2010",NA,"Cashiers",NA
"41-0000","41-2000","41-2010","41-2011","Cashiers",NA
"41-0000","41-2000","41-2010","41-2012","Gambling Change Persons and Booth Cashiers",NA
"41-0000","41-2000","41-2020",NA,"Counter and Rental Clerks and Parts Salespersons",NA
"41-0000","41-2000","41-2020","41-2021","Counter and Rental Clerks",NA
"41-0000","41-2000","41-2020","41-2022","Parts Salespersons",NA
"41-0000","41-2000","41-2030",NA,"Retail Salespersons",NA
"41-0000","41-2000","41-2030","41-2031","Retail Salespersons",NA
"41-0000","41-3000","41-2030",NA,"Sales Representatives, Services",NA
"41-0000","41-3000","41-3010",NA,"Advertising Sales Agents",NA
"41-0000","41-3000","41-3010","41-3011","Advertising Sales Agents",NA
"41-0000","41-3000","41-3020",NA,"Insurance Sales Agents",NA
"41-0000","41-3000","41-3020","41-3021","Insurance Sales Agents",NA
"41-0000","41-3000","41-3030",NA,"Securities, Commodities, and Financial Services Sales Agents",NA
"41-0000","41-3000","41-3030","41-3031","Securities, Commodities, and Financial Services Sales Agents",NA
"41-0000","41-3000","41-3040",NA,"Travel Agents",NA
"41-0000","41-3000","41-3040","41-3041","Travel Agents",NA
"41-0000","41-3000","41-3090",NA,"Miscellaneous Sales Representatives, Services",NA
"41-0000","41-3000","41-3090","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",NA
"41-0000","41-4000","41-3090",NA,"Sales Representatives, Wholesale and Manufacturing",NA
"41-0000","41-4000","41-4010",NA,"Sales Representatives, Wholesale and Manufacturing",NA
"41-0000","41-4000","41-4010","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",NA
"41-0000","41-4000","41-4010","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NA
"41-0000","41-9000","41-4010",NA,"Other Sales and Related Workers",NA
"41-0000","41-9000","41-9010",NA,"Models, Demonstrators, and Product Promoters",NA
"41-0000","41-9000","41-9010","41-9011","Demonstrators and Product Promoters",NA
"41-0000","41-9000","41-9010","41-9012","Models",NA
"41-0000","41-9000","41-9020",NA,"Real Estate Brokers and Sales Agents",NA
"41-0000","41-9000","41-9020","41-9021","Real Estate Brokers",NA
"41-0000","41-9000","41-9020","41-9022","Real Estate Sales Agents",NA
"41-0000","41-9000","41-9030",NA,"Sales Engineers",NA
"41-0000","41-9000","41-9030","41-9031","Sales Engineers",NA
"41-0000","41-9000","41-9040",NA,"Telemarketers",NA
"41-0000","41-9000","41-9040","41-9041","Telemarketers",NA
"41-0000","41-9000","41-9090",NA,"Miscellaneous Sales and Related Workers",NA
"41-0000","41-9000","41-9090","41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",NA
"41-0000","41-9000","41-9090","41-9099","Sales and Related Workers, All Other",NA
"43-0000","41-9000","41-9090",NA,"Office and Administrative Support Occupations",NA
"43-0000","43-1000","41-9090",NA,"Supervisors of Office and Administrative Support Workers",NA
"43-0000","43-1000","43-1010",NA,"First-Line Supervisors of Office and Administrative Support Workers",NA
"43-0000","43-1000","43-1010","43-1011","First-Line Supervisors of Office and Administrative Support Workers",NA
"43-0000","43-2000","43-1010",NA,"Communications Equipment Operators",NA
"43-0000","43-2000","43-2010",NA,"Switchboard Operators, Including Answering Service",NA
"43-0000","43-2000","43-2010","43-2011","Switchboard Operators, Including Answering Service",NA
"43-0000","43-2000","43-2020",NA,"Telephone Operators",NA
"43-0000","43-2000","43-2020","43-2021","Telephone Operators",NA
"43-0000","43-2000","43-2090",NA,"Miscellaneous Communications Equipment Operators",NA
"43-0000","43-2000","43-2090","43-2099","Communications Equipment Operators, All Other",NA
"43-0000","43-3000","43-2090",NA,"Financial Clerks",NA
"43-0000","43-3000","43-3010",NA,"Bill and Account Collectors",NA
"43-0000","43-3000","43-3010","43-3011","Bill and Account Collectors",NA
"43-0000","43-3000","43-3020",NA,"Billing and Posting Clerks",NA
"43-0000","43-3000","43-3020","43-3021","Billing and Posting Clerks",NA
"43-0000","43-3000","43-3030",NA,"Bookkeeping, Accounting, and Auditing Clerks",NA
"43-0000","43-3000","43-3030","43-3031","Bookkeeping, Accounting, and Auditing Clerks",NA
"43-0000","43-3000","43-3040",NA,"Gambling Cage Workers",NA
"43-0000","43-3000","43-3040","43-3041","Gambling Cage Workers",NA
"43-0000","43-3000","43-3050",NA,"Payroll and Timekeeping Clerks",NA
"43-0000","43-3000","43-3050","43-3051","Payroll and Timekeeping Clerks",NA
"43-0000","43-3000","43-3060",NA,"Procurement Clerks",NA
"43-0000","43-3000","43-3060","43-3061","Procurement Clerks",NA
"43-0000","43-3000","43-3070",NA,"Tellers",NA
"43-0000","43-3000","43-3070","43-3071","Tellers",NA
"43-0000","43-3000","43-3090",NA,"Miscellaneous Financial Clerks",NA
"43-0000","43-3000","43-3090","43-3099","Financial Clerks, All Other",NA
"43-0000","43-4000","43-3090",NA,"Information and Record Clerks",NA
"43-0000","43-4000","43-4010",NA,"Brokerage Clerks",NA
"43-0000","43-4000","43-4010","43-4011","Brokerage Clerks",NA
"43-0000","43-4000","43-4020",NA,"Correspondence Clerks",NA
"43-0000","43-4000","43-4020","43-4021","Correspondence Clerks",NA
"43-0000","43-4000","43-4030",NA,"Court, Municipal, and License Clerks",NA
"43-0000","43-4000","43-4030","43-4031","Court, Municipal, and License Clerks",NA
"43-0000","43-4000","43-4040",NA,"Credit Authorizers, Checkers, and Clerks",NA
"43-0000","43-4000","43-4040","43-4041","Credit Authorizers, Checkers, and Clerks",NA
"43-0000","43-4000","43-4050",NA,"Customer Service Representatives",NA
"43-0000","43-4000","43-4050","43-4051","Customer Service Representatives",NA
"43-0000","43-4000","43-4060",NA,"Eligibility Interviewers, Government Programs",NA
"43-0000","43-4000","43-4060","43-4061","Eligibility Interviewers, Government Programs",NA
"43-0000","43-4000","43-4070",NA,"File Clerks",NA
"43-0000","43-4000","43-4070","43-4071","File Clerks",NA
"43-0000","43-4000","43-4080",NA,"Hotel, Motel, and Resort Desk Clerks",NA
"43-0000","43-4000","43-4080","43-4081","Hotel, Motel, and Resort Desk Clerks",NA
"43-0000","43-4000","43-4110",NA,"Interviewers, Except Eligibility and Loan",NA
"43-0000","43-4000","43-4110","43-4111","Interviewers, Except Eligibility and Loan",NA
"43-0000","43-4000","43-4120",NA,"Library Assistants, Clerical",NA
"43-0000","43-4000","43-4120","43-4121","Library Assistants, Clerical",NA
"43-0000","43-4000","43-4130",NA,"Loan Interviewers and Clerks",NA
"43-0000","43-4000","43-4130","43-4131","Loan Interviewers and Clerks",NA
"43-0000","43-4000","43-4140",NA,"New Accounts Clerks",NA
"43-0000","43-4000","43-4140","43-4141","New Accounts Clerks",NA
"43-0000","43-4000","43-4150",NA,"Order Clerks",NA
"43-0000","43-4000","43-4150","43-4151","Order Clerks",NA
"43-0000","43-4000","43-4160",NA,"Human Resources Assistants, Except Payroll and Timekeeping",NA
"43-0000","43-4000","43-4160","43-4161","Human Resources Assistants, Except Payroll and Timekeeping",NA
"43-0000","43-4000","43-4170",NA,"Receptionists and Information Clerks",NA
"43-0000","43-4000","43-4170","43-4171","Receptionists and Information Clerks",NA
"43-0000","43-4000","43-4180",NA,"Reservation and Transportation Ticket Agents and Travel Clerks",NA
"43-0000","43-4000","43-4180","43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",NA
"43-0000","43-4000","43-4190",NA,"Miscellaneous Information and Record Clerks",NA
"43-0000","43-4000","43-4190","43-4199","Information and Record Clerks, All Other",NA
"43-0000","43-5000","43-4190",NA,"Material Recording, Scheduling, Dispatching, and Distributing Workers",NA
"43-0000","43-5000","43-5010",NA,"Cargo and Freight Agents",NA
"43-0000","43-5000","43-5010","43-5011","Cargo and Freight Agents",NA
"43-0000","43-5000","43-5020",NA,"Couriers and Messengers",NA
"43-0000","43-5000","43-5020","43-5021","Couriers and Messengers",NA
"43-0000","43-5000","43-5030",NA,"Dispatchers",NA
"43-0000","43-5000","43-5030","43-5031","Public Safety Telecommunicators",NA
"43-0000","43-5000","43-5030","43-5032","Dispatchers, Except Police, Fire, and Ambulance",NA
"43-0000","43-5000","43-5040",NA,"Meter Readers, Utilities",NA
"43-0000","43-5000","43-5040","43-5041","Meter Readers, Utilities",NA
"43-0000","43-5000","43-5050",NA,"Postal Service Workers",NA
"43-0000","43-5000","43-5050","43-5051","Postal Service Clerks",NA
"43-0000","43-5000","43-5050","43-5052","Postal Service Mail Carriers",NA
"43-0000","43-5000","43-5050","43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators",NA
"43-0000","43-5000","43-5060",NA,"Production, Planning, and Expediting Clerks",NA
"43-0000","43-5000","43-5060","43-5061","Production, Planning, and Expediting Clerks",NA
"43-0000","43-5000","43-5070",NA,"Shipping, Receiving, and Inventory Clerks",NA
"43-0000","43-5000","43-5070","43-5071","Shipping, Receiving, and Inventory Clerks",NA
"43-0000","43-5000","43-5110",NA,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA
"43-0000","43-5000","43-5110","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",NA
"43-0000","43-6000","43-5110",NA,"Secretaries and Administrative Assistants",NA
"43-0000","43-6000","43-6010",NA,"Secretaries and Administrative Assistants",NA
"43-0000","43-6000","43-6010","43-6011","Executive Secretaries and Executive Administrative Assistants",NA
"43-0000","43-6000","43-6010","43-6012","Legal Secretaries and Administrative Assistants",NA
"43-0000","43-6000","43-6010","43-6013","Medical Secretaries and Administrative Assistants",NA
"43-0000","43-6000","43-6010","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",NA
"43-0000","43-9000","43-6010",NA,"Other Office and Administrative Support Workers",NA
"43-0000","43-9000","43-9020",NA,"Data Entry and Information Processing Workers",NA
"43-0000","43-9000","43-9020","43-9021","Data Entry Keyers",NA
"43-0000","43-9000","43-9020","43-9022","Word Processors and Typists",NA
"43-0000","43-9000","43-9030",NA,"Desktop Publishers",NA
"43-0000","43-9000","43-9030","43-9031","Desktop Publishers",NA
"43-0000","43-9000","43-9040",NA,"Insurance Claims and Policy Processing Clerks",NA
"43-0000","43-9000","43-9040","43-9041","Insurance Claims and Policy Processing Clerks",NA
"43-0000","43-9000","43-9050",NA,"Mail Clerks and Mail Machine Operators, Except Postal Service",NA
"43-0000","43-9000","43-9050","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service",NA
"43-0000","43-9000","43-9060",NA,"Office Clerks, General",NA
"43-0000","43-9000","43-9060","43-9061","Office Clerks, General",NA
"43-0000","43-9000","43-9070",NA,"Office Machine Operators, Except Computer",NA
"43-0000","43-9000","43-9070","43-9071","Office Machine Operators, Except Computer",NA
"43-0000","43-9000","43-9080",NA,"Proofreaders and Copy Markers",NA
"43-0000","43-9000","43-9080","43-9081","Proofreaders and Copy Markers",NA
"43-0000","43-9000","43-9110",NA,"Statistical Assistants",NA
"43-0000","43-9000","43-9110","43-9111","Statistical Assistants",NA
"43-0000","43-9000","43-9190",NA,"Miscellaneous Office and Administrative Support Workers",NA
"43-0000","43-9000","43-9190","43-9199","Office and Administrative Support Workers, All Other",NA
"45-0000","43-9000","43-9190",NA,"Farming, Fishing, and Forestry Occupations",NA
"45-0000","45-1000","43-9190",NA,"Supervisors of Farming, Fishing, and Forestry Workers",NA
"45-0000","45-1000","45-1010",NA,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA
"45-0000","45-1000","45-1010","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers",NA
"45-0000","45-2000","45-1010",NA,"Agricultural Workers",NA
"45-0000","45-2000","45-2010",NA,"Agricultural Inspectors",NA
"45-0000","45-2000","45-2010","45-2011","Agricultural Inspectors",NA
"45-0000","45-2000","45-2020",NA,"Animal Breeders",NA
"45-0000","45-2000","45-2020","45-2021","Animal Breeders",NA
"45-0000","45-2000","45-2040",NA,"Graders and Sorters, Agricultural Products",NA
"45-0000","45-2000","45-2040","45-2041","Graders and Sorters, Agricultural Products",NA
"45-0000","45-2000","45-2090",NA,"Miscellaneous Agricultural Workers",NA
"45-0000","45-2000","45-2090","45-2091","Agricultural Equipment Operators",NA
"45-0000","45-2000","45-2090","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",NA
"45-0000","45-2000","45-2090","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals",NA
"45-0000","45-2000","45-2090","45-2099","Agricultural Workers, All Other",NA
"45-0000","45-3000","45-2090",NA,"Fishing and Hunting Workers",NA
"45-0000","45-3000","45-3030",NA,"Fishing and Hunting Workers",NA
"45-0000","45-3000","45-3030","45-3031","Fishing and Hunting Workers",NA
"45-0000","45-4000","45-3030",NA,"Forest, Conservation, and Logging Workers",NA
"45-0000","45-4000","45-4010",NA,"Forest and Conservation Workers",NA
"45-0000","45-4000","45-4010","45-4011","Forest and Conservation Workers",NA
"45-0000","45-4000","45-4020",NA,"Logging Workers",NA
"45-0000","45-4000","45-4020","45-4021","Fallers",NA
"45-0000","45-4000","45-4020","45-4022","Logging Equipment Operators",NA
"45-0000","45-4000","45-4020","45-4023","Log Graders and Scalers",NA
"45-0000","45-4000","45-4020","45-4029","Logging Workers, All Other",NA
"47-0000","45-4000","45-4020",NA,"Construction and Extraction Occupations",NA
"47-0000","47-1000","45-4020",NA,"Supervisors of Construction and Extraction Workers",NA
"47-0000","47-1000","47-1010",NA,"First-Line Supervisors of Construction Trades and Extraction Workers",NA
"47-0000","47-1000","47-1010","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers",NA
"47-0000","47-2000","47-1010",NA,"Construction Trades Workers",NA
"47-0000","47-2000","47-2010",NA,"Boilermakers",NA
"47-0000","47-2000","47-2010","47-2011","Boilermakers",NA
"47-0000","47-2000","47-2020",NA,"Brickmasons, Blockmasons, and Stonemasons",NA
"47-0000","47-2000","47-2020","47-2021","Brickmasons and Blockmasons",NA
"47-0000","47-2000","47-2020","47-2022","Stonemasons",NA
"47-0000","47-2000","47-2030",NA,"Carpenters",NA
"47-0000","47-2000","47-2030","47-2031","Carpenters",NA
"47-0000","47-2000","47-2040",NA,"Carpet, Floor, and Tile Installers and Finishers",NA
"47-0000","47-2000","47-2040","47-2041","Carpet Installers",NA
"47-0000","47-2000","47-2040","47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles",NA
"47-0000","47-2000","47-2040","47-2043","Floor Sanders and Finishers",NA
"47-0000","47-2000","47-2040","47-2044","Tile and Stone Setters",NA
"47-0000","47-2000","47-2050",NA,"Cement Masons, Concrete Finishers, and Terrazzo Workers",NA
"47-0000","47-2000","47-2050","47-2051","Cement Masons and Concrete Finishers",NA
"47-0000","47-2000","47-2050","47-2053","Terrazzo Workers and Finishers",NA
"47-0000","47-2000","47-2060",NA,"Construction Laborers",NA
"47-0000","47-2000","47-2060","47-2061","Construction Laborers",NA
"47-0000","47-2000","47-2070",NA,"Construction Equipment Operators",NA
"47-0000","47-2000","47-2070","47-2071","Paving, Surfacing, and Tamping Equipment Operators",NA
"47-0000","47-2000","47-2070","47-2072","Pile Driver Operators",NA
"47-0000","47-2000","47-2070","47-2073","Operating Engineers and Other Construction Equipment Operators",NA
"47-0000","47-2000","47-2080",NA,"Drywall Installers, Ceiling Tile Installers, and Tapers",NA
"47-0000","47-2000","47-2080","47-2081","Drywall and Ceiling Tile Installers",NA
"47-0000","47-2000","47-2080","47-2082","Tapers",NA
"47-0000","47-2000","47-2110",NA,"Electricians",NA
"47-0000","47-2000","47-2110","47-2111","Electricians",NA
"47-0000","47-2000","47-2120",NA,"Glaziers",NA
"47-0000","47-2000","47-2120","47-2121","Glaziers",NA
"47-0000","47-2000","47-2130",NA,"Insulation Workers",NA
"47-0000","47-2000","47-2130","47-2131","Insulation Workers, Floor, Ceiling, and Wall",NA
"47-0000","47-2000","47-2130","47-2132","Insulation Workers, Mechanical",NA
"47-0000","47-2000","47-2140",NA,"Painters and Paperhangers",NA
"47-0000","47-2000","47-2140","47-2141","Painters, Construction and Maintenance",NA
"47-0000","47-2000","47-2140","47-2142","Paperhangers",NA
"47-0000","47-2000","47-2150",NA,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA
"47-0000","47-2000","47-2150","47-2151","Pipelayers",NA
"47-0000","47-2000","47-2150","47-2152","Plumbers, Pipefitters, and Steamfitters",NA
"47-0000","47-2000","47-2160",NA,"Plasterers and Stucco Masons",NA
"47-0000","47-2000","47-2160","47-2161","Plasterers and Stucco Masons",NA
"47-0000","47-2000","47-2170",NA,"Reinforcing Iron and Rebar Workers",NA
"47-0000","47-2000","47-2170","47-2171","Reinforcing Iron and Rebar Workers",NA
"47-0000","47-2000","47-2180",NA,"Roofers",NA
"47-0000","47-2000","47-2180","47-2181","Roofers",NA
"47-0000","47-2000","47-2210",NA,"Sheet Metal Workers",NA
"47-0000","47-2000","47-2210","47-2211","Sheet Metal Workers",NA
"47-0000","47-2000","47-2220",NA,"Structural Iron and Steel Workers",NA
"47-0000","47-2000","47-2220","47-2221","Structural Iron and Steel Workers",NA
"47-0000","47-2000","47-2230",NA,"Solar Photovoltaic Installers",NA
"47-0000","47-2000","47-2230","47-2231","Solar Photovoltaic Installers",NA
"47-0000","47-3000","47-2230",NA,"Helpers, Construction Trades",NA
"47-0000","47-3000","47-3010",NA,"Helpers, Construction Trades",NA
"47-0000","47-3000","47-3010","47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",NA
"47-0000","47-3000","47-3010","47-3012","Helpers--Carpenters",NA
"47-0000","47-3000","47-3010","47-3013","Helpers--Electricians",NA
"47-0000","47-3000","47-3010","47-3014","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",NA
"47-0000","47-3000","47-3010","47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",NA
"47-0000","47-3000","47-3010","47-3016","Helpers--Roofers",NA
"47-0000","47-3000","47-3010","47-3019","Helpers, Construction Trades, All Other",NA
"47-0000","47-4000","47-3010",NA,"Other Construction and Related Workers",NA
"47-0000","47-4000","47-4010",NA,"Construction and Building Inspectors",NA
"47-0000","47-4000","47-4010","47-4011","Construction and Building Inspectors",NA
"47-0000","47-4000","47-4020",NA,"Elevator and Escalator Installers and Repairers",NA
"47-0000","47-4000","47-4020","47-4021","Elevator and Escalator Installers and Repairers",NA
"47-0000","47-4000","47-4030",NA,"Fence Erectors",NA
"47-0000","47-4000","47-4030","47-4031","Fence Erectors",NA
"47-0000","47-4000","47-4040",NA,"Hazardous Materials Removal Workers",NA
"47-0000","47-4000","47-4040","47-4041","Hazardous Materials Removal Workers",NA
"47-0000","47-4000","47-4050",NA,"Highway Maintenance Workers",NA
"47-0000","47-4000","47-4050","47-4051","Highway Maintenance Workers",NA
"47-0000","47-4000","47-4060",NA,"Rail-Track Laying and Maintenance Equipment Operators",NA
"47-0000","47-4000","47-4060","47-4061","Rail-Track Laying and Maintenance Equipment Operators",NA
"47-0000","47-4000","47-4070",NA,"Septic Tank Servicers and Sewer Pipe Cleaners",NA
"47-0000","47-4000","47-4070","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners",NA
"47-0000","47-4000","47-4090",NA,"Miscellaneous Construction and Related Workers",NA
"47-0000","47-4000","47-4090","47-4091","Segmental Pavers",NA
"47-0000","47-4000","47-4090","47-4099","Construction and Related Workers, All Other",NA
"47-0000","47-5000","47-4090",NA,"Extraction Workers",NA
"47-0000","47-5000","47-5010",NA,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",NA
"47-0000","47-5000","47-5010","47-5011","Derrick Operators, Oil and Gas",NA
"47-0000","47-5000","47-5010","47-5012","Rotary Drill Operators, Oil and Gas",NA
"47-0000","47-5000","47-5010","47-5013","Service Unit Operators, Oil and Gas",NA
"47-0000","47-5000","47-5020",NA,"Surface Mining Machine Operators and Earth Drillers",NA
"47-0000","47-5000","47-5020","47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining",NA
"47-0000","47-5000","47-5020","47-5023","Earth Drillers, Except Oil and Gas",NA
"47-0000","47-5000","47-5030",NA,"Explosives Workers, Ordnance Handling Experts, and Blasters",NA
"47-0000","47-5000","47-5030","47-5032","Explosives Workers, Ordnance Handling Experts, and Blasters",NA
"47-0000","47-5000","47-5040",NA,"Underground Mining Machine Operators",NA
"47-0000","47-5000","47-5040","47-5041","Continuous Mining Machine Operators",NA
"47-0000","47-5000","47-5040","47-5043","Roof Bolters, Mining",NA
"47-0000","47-5000","47-5040","47-5044","Loading and Moving Machine Operators, Underground Mining",NA
"47-0000","47-5000","47-5040","47-5049","Underground Mining Machine Operators, All Other",NA
"47-0000","47-5000","47-5050",NA,"Rock Splitters, Quarry",NA
"47-0000","47-5000","47-5050","47-5051","Rock Splitters, Quarry",NA
"47-0000","47-5000","47-5070",NA,"Roustabouts, Oil and Gas",NA
"47-0000","47-5000","47-5070","47-5071","Roustabouts, Oil and Gas",NA
"47-0000","47-5000","47-5080",NA,"Helpers--Extraction Workers",NA
"47-0000","47-5000","47-5080","47-5081","Helpers--Extraction Workers",NA
"47-0000","47-5000","47-5090",NA,"Miscellaneous Extraction Workers",NA
"47-0000","47-5000","47-5090","47-5099","Extraction Workers, All Other",NA
"49-0000","47-5000","47-5090",NA,"Installation, Maintenance, and Repair Occupations",NA
"49-0000","49-1000","47-5090",NA,"Supervisors of Installation, Maintenance, and Repair Workers",NA
"49-0000","49-1000","49-1010",NA,"First-Line Supervisors of Mechanics, Installers, and Repairers",NA
"49-0000","49-1000","49-1010","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers",NA
"49-0000","49-2000","49-1010",NA,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",NA
"49-0000","49-2000","49-2010",NA,"Computer, Automated Teller, and Office Machine Repairers",NA
"49-0000","49-2000","49-2010","49-2011","Computer, Automated Teller, and Office Machine Repairers",NA
"49-0000","49-2000","49-2020",NA,"Radio and Telecommunications Equipment Installers and Repairers",NA
"49-0000","49-2000","49-2020","49-2021","Radio, Cellular, and Tower Equipment Installers and Repairers",NA
"49-0000","49-2000","49-2020","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers",NA
"49-0000","49-2000","49-2090",NA,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",NA
"49-0000","49-2000","49-2090","49-2091","Avionics Technicians",NA
"49-0000","49-2000","49-2090","49-2092","Electric Motor, Power Tool, and Related Repairers",NA
"49-0000","49-2000","49-2090","49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment",NA
"49-0000","49-2000","49-2090","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment",NA
"49-0000","49-2000","49-2090","49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",NA
"49-0000","49-2000","49-2090","49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles",NA
"49-0000","49-2000","49-2090","49-2097","Audiovisual Equipment Installers and Repairers",NA
"49-0000","49-2000","49-2090","49-2098","Security and Fire Alarm Systems Installers",NA
"49-0000","49-3000","49-2090",NA,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",NA
"49-0000","49-3000","49-3010",NA,"Aircraft Mechanics and Service Technicians",NA
"49-0000","49-3000","49-3010","49-3011","Aircraft Mechanics and Service Technicians",NA
"49-0000","49-3000","49-3020",NA,"Automotive Technicians and Repairers",NA
"49-0000","49-3000","49-3020","49-3021","Automotive Body and Related Repairers",NA
"49-0000","49-3000","49-3020","49-3022","Automotive Glass Installers and Repairers",NA
"49-0000","49-3000","49-3020","49-3023","Automotive Service Technicians and Mechanics",NA
"49-0000","49-3000","49-3030",NA,"Bus and Truck Mechanics and Diesel Engine Specialists",NA
